,index,cast
0,0,"Brendan Gleeson, Taylor Kitsch, Gordon Pinsent"
1,1,"Mahesh Manjrekar, Abhay Mahajan, Sachin Khedekar"
2,2,"Tom Sizemore, Lorenzo Lamas, Robert LaSardo, Richard Jones, Yancey Arias, Noel Gugliemi"
3,3,"Interviews with: Pink, Adele, Beyoncé, Britney Spears, Christina Aguilera, more!"
4,4,"Harry Dean Stanton, Kieran O'Brien, George Costigan, Amanda Dickinson, Alison Steadman, Grant Bardsley, Bill Moody, Matthew Scurfield"
5,5,"Gregory Chisholm, Juliet Stevenson, Brian Henson, Michael Maloney"
6,6,"Alice Cooper, Liberty DeVitto, Ray Parker Jr., David Foster, Jason Hook, Steve Vai, Phil X, Rudy Sarzo, Jay Graydon, Rob Zombie, Kenny Aronoff, Steve Lukather, Justin Derrico, Eva Gardner, John 5, Eric Singer, Derek St. Holmes, Paul Bushnell, Jason Newsted, Glen Sobel, Nita Strauss, Chris Johnson"
7,7,"Julianne Hough, Aaron Tveit, Vanessa Hudgens, Keke Palmer, Carly Rae Jepson, Mario Lopez, Carlos PenaVega, Kether Donohue, Jordan Fisher, David Del Rio, Andrew Call, Wendell Pierce, Boyz II Men, Jessie J, Ana Gasteyer, Didi Conn"
8,8,"Michael Paré, Leanne Khol Young, Patrick J. MacEachern"
9,9,"Kirstie Alley, Sam Waterston, Stockard Channing"
10,10,"Emily Wilder, Adrian Cowan, Gary Mckenzie, Jeremy Ninaber, Brenda Somers, Brian Carleton, Lora Burke, Winny Clarke, Mercedes Morris, Rebecca Perry, Emily Agard, Graham Gauthier"
11,11,"Leslie Bibb, Kevin Curtis, Nadia Dajani"
12,12,"Anders Danielsen Lie, Golshifteh Farahani, Denis Lavant, Sigrid Bouaziz, David Kammenos"
13,13,"Rafinha Alcantara, Marc-André Ter Stegen, Sergi Roberto, Dr. Ramón Cugat, Mazinho, Xavi Arruebo, Celia Ferreira Da Silva, Ángel Lapuebla, Javier Enríquez, Thiago Alcantara, Valeria Alcantara"
14,14,"Elon Musk, Per Wimmer, Julie Anderson-Ankenbrandt, Cary Cooper"
15,15,"Joey King, Jack Kilmer, Andrea Savage, Paul Scheer, June Squibb, Erin Darke, Stephen Ruffin, Kelly Lamor Wilson, Logan Medina, Travis James, Bill Eudaly, Elise DuQuette"
16,16,"Marcus Anderson, Kaiwi Lyman, Andrew Asper"
17,17,Narrator - Gillian Barlett
18,18,Zoë Coombs Marr
