,index,type,title,release_year,plataforma,dur_min,dur_temp
0,0,Movie,The Grand Seduction,2014,amazon,113,min
1,1,Movie,Take Care Good Night,2018,amazon,110,min
2,2,Movie,Secrets of Deception,2017,amazon,74,min
3,3,Movie,Pink: Staying True,2014,amazon,69,min
4,4,Movie,Monster Maker,1989,amazon,45,min
5,5,Movie,Living With Dinosaurs,1989,amazon,52,min
6,6,Movie,Hired Gun,2017,amazon,98,min
7,7,Movie,Grease Live!,2016,amazon,131,min
8,8,Movie,Global Meltdown,2017,amazon,87,min
9,9,Movie,David's Mother,1994,amazon,92,min
10,10,Movie,Forest Fairies,2016,amazon,88,min
11,11,Movie,Take Care,2014,amazon,93,min
12,12,Movie,The Night Eats The World,2018,amazon,94,min
13,13,Movie,Resilencia,2020,amazon,46,min
14,14,Movie,Elon Musk: The Real Life Iron Man,2018,amazon,74,min
15,15,Movie,Summer '03,2019,amazon,96,min
16,16,Movie,Zoombies,2016,amazon,87,min
17,17,TV Show,Zoo Babies,2008,amazon,1,Season
18,18,TV Show,Zoë Coombs Marr: Bossy Bottom,2020,amazon,1,Season
19,19,Movie,Zoe,2018,amazon,104,min
20,20,TV Show,Zoboomafoo,2001,amazon,1,Season
21,21,TV Show,Zo Zo Zombie: Mini-Series,2020,amazon,1,Season
22,22,Movie,Zis Boom Bah,1941,amazon,62,min
23,23,TV Show,ZeroZeroZero,2020,amazon,1,Season
24,24,Movie,Zandalee,1991,amazon,94,min
25,25,Movie,Zambezi: Force of Life,2005,amazon,50,min
26,26,TV Show,Zahara: The Return,2020,amazon,1,Season
27,27,TV Show,Z: The Beginning of Everything,2017,amazon,1,Season
28,28,TV Show,Yu-Gi-Oh! Zexal,2015,amazon,3,Seasons
29,29,TV Show,Yu-Gi-Oh! ARC-V,2018,amazon,3,Seasons
30,30,TV Show,Yu-Gi-Oh! 5D's,2011,amazon,2,Seasons
31,31,TV Show,Your Bleeped Up Brain,2013,amazon,1,Season
32,32,Movie,Young Lovers,1949,amazon,86,min
33,33,Movie,Young Love (at the Sun Factory),2007,amazon,36,min
34,34,Movie,Young Love (at Bowery Ballroom),2007,amazon,37,min
35,35,TV Show,Young Lions,2002,amazon,1,Season
36,36,Movie,You're Not You,2015,amazon,103,min
37,37,Movie,"You, Me and Him",2017,amazon,98,min
38,38,Movie,Yoga with Sound Meditations,2016,amazon,9,min
39,39,Movie,Yoga to Harness Your Chakra Energy,2014,amazon,18,min
40,40,Movie,Yoga to Ease Flight Anxiety,2016,amazon,14,min
41,41,Movie,Yoga to Break Any Habit,2014,amazon,20,min
42,42,TV Show,"Yoga Therapy For Back Pain, Neck Pain & Stress Relief - Lindsey Samper",2018,amazon,1,Season
43,43,Movie,Yoga Savasana Relaxation,2014,amazon,19,min
44,44,Movie,Yoga for Relaxation Anywhere,2014,amazon,18,min
45,45,Movie,Yoga for Relaxation and Stress Relief Anywhere,2014,amazon,20,min
46,46,Movie,Yoga for Relaxation and Stress Relief,2014,amazon,20,min
47,47,Movie,Yoga for Mindfulness and Meditation,2016,amazon,22,min
48,48,Movie,Yoga for Men's Health,2016,amazon,60,min
49,49,Movie,Yoga for Breath Awareness,2016,amazon,6,min
50,50,Movie,Yoga For Beginners,2016,amazon,54,min
51,51,Movie,Yoga for Abdominal Breathing,2019,amazon,5,min
52,52,Movie,Yellowneck,1955,amazon,84,min
53,53,TV Show,Yearly Departed,2020,amazon,1,Season
54,54,Movie,Yatra (Telugu),2019,amazon,126,min
55,55,Movie,Yatra (Malayalam),2019,amazon,125,min
56,56,TV Show,Yancy Derringer,1959,amazon,1,Season
57,57,TV Show,Xploration Earth 2050,2017,amazon,2,Seasons
58,58,TV Show,Xiaolin Chronicles,2015,amazon,1,Season
59,59,Movie,Xchange,2001,amazon,109,min
60,60,Movie,X-Ray,1983,amazon,89,min
61,61,TV Show,WWII in HD,2009,amazon,1,Season
62,62,Movie,Wrangler: Anatomy of an Icon,2008,amazon,85,min
